case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_670,-108.05143600956698,3.234455716255193,-105.19786822284858,-17.970573925972896,18.209716698447288,-101.94472547274266,-17.152540714011597,23.246606225737228
case_671,-98.38984727854364,17.92436361637318,-96.46760798807135,-16.499212373756887,32.903779555243034,-93.7057129350345,-15.955188004569322,36.363797888289895
case_672,-100.9980245119091,6.630021346162527,-96.70787230689024,-17.153763418801415,23.174104130779757,-93.85602854854112,-15.527002939945765,25.274366654444027
case_673,-100.79974409519139,6.287499061168871,-102.21452430776408,-17.74645416897825,25.987584184484565,-99.82986154413666,-15.192160087719298,30.665676641489217
case_674,-103.40450683201286,19.8419332949381,-102.62701901857652,-18.558602253426788,32.34558195720782,-97.85567448474147,-15.288018769247438,34.04356262864805
case_675,-95.91095361833644,5.152142814624789,-105.45759576856972,-18.918227479902306,17.795332984194303,-102.29431699351264,-18.266844337510207,20.42462241406818
case_676,-107.84692716000488,-7.928622498384323,-104.40403632616157,-18.148334200823168,8.18399292222172,-100.37753312044697,-16.90701766470253,17.15461967716565
case_677,-112.4920123679464,6.773992978006145,-110.24358245302902,-18.260201073515113,21.10822534047593,-106.97129009660165,-17.03073412152873,25.10393678657271
case_678,-103.49519378852669,24.430642333104213,-97.66553805514565,-16.078878915095224,41.852426155853415,-95.24908315016745,-13.36539238422982,43.308567631690636
case_679,-112.97163818703055,-9.194410746680616,-106.93812917165184,-20.12922997364085,3.5655675979280645,-103.31300979415772,-20.027024180705858,11.372333179203396
case_680,-91.34640997699479,30.205090462565384,-57.726181764964146,-12.294915662650602,38.88960248517664,-47.96647915405704,-8.332344564331045,38.42340736339102
case_681,-117.58942262721172,-0.09884576979707889,-111.70914613804365,-19.743766612618483,15.826141569141617,-106.5995238885246,-19.353562435431023,20.653024276998938
case_682,-94.40492805379677,18.82756661287063,-83.61943663621457,-13.845047759471761,29.856746633024002,-76.09691612033292,-11.270091921065948,31.503810255399276
case_683,-97.89033828485832,8.599003526347188,-88.6181908608468,-15.697429026444027,23.632057148845494,-81.24386725027301,-13.47191429097343,26.75677843973317
case_684,-100.04550160663509,-15.231242582442084,-99.61499264711485,-19.3137127379021,1.0134297158483356,-97.19620139609374,-19.14729896143643,8.33906809483049
case_685,-103.31171989356788,3.6180238258929074,-100.84670267442475,-18.69061838514509,19.470191883988303,-97.54465265702669,-18.206372826094448,24.30207789871368
case_686,-101.12481884100661,24.910030238607703,-101.35425398322462,-15.458952649733458,37.91907302555168,-98.421883785726,-13.411637305468105,39.143245750339545
case_687,-100.23797121363415,-6.692228238915564,-102.47390466616403,-19.499068867695744,7.637358302153129,-98.395099058456,-19.107994531210643,12.93012178675763
case_688,-98.95337408291579,17.533108027985296,-97.39408126149172,-17.915618092082823,31.311745991002553,-93.82595553120407,-17.04066595036447,34.179373358622705
case_689,-106.65058761971079,-6.686952994919523,-103.64969929931065,-18.448191049320656,6.466285869377483,-99.96693703941837,-18.079713208056912,12.53034849304235
